tranche,file,sha256,bytes,pages,source,origin,level,result,code,ms,out_bytes,verified
pdfjs,REDHAT-1531897-0.pdf,f468fc2f922bb179f3cb9994c9476fb1840445fe6deb6cdcca42244ab0218786,871,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/REDHAT-1531897-0.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/REDHAT-1531897-0.pdf,2b,rejected,PARSE_ERROR,7,0,
pdfjs,S2.pdf,57d874f2760ded2b70eb58b7b5e31df407d5641b7225576b77458b5dc5009543,478490,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/S2.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/S2.pdf,2b,converted,,161,1966351,
pdfjs,ShowText-ShadingPattern.pdf,13ac785e8445fbf01d5a8200e0e899daa204cdbe723b02f38f8af61ac48707bb,4671,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ShowText-ShadingPattern.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ShowText-ShadingPattern.pdf,2b,converted,,20,135758,
pdfjs,SimFang-variant.pdf,e6c6e3fb472f06a3d812bef23afc026e90b33497408122b61d577e0f7df49418,4108,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/SimFang-variant.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/SimFang-variant.pdf,2b,converted,,18,135484,
pdfjs,TAMReview.pdf,a6db6d2f5e4f97e1e28a5919a875a40b89e38d0229b33cc023ca4d353f3ab3ec,674629,23,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/TAMReview.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/TAMReview.pdf,2b,converted,,129,919517,
pdfjs,Test-plusminus.pdf,2d572b042e50128127cc1c5a056da3f94b77854b6cca89ff074e1269b9172a45,28401,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Test-plusminus.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Test-plusminus.pdf,2b,converted,,19,37956,
pdfjs,ThuluthFeatures.pdf,752304c24a50834d111793fc038cafc892c071d04f214072729c41a178c161e7,117677,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ThuluthFeatures.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ThuluthFeatures.pdf,2b,converted,,62,344364,
pdfjs,TrueType_without_cmap.pdf,3e111eef52ce9c0d0b1da043290df4b49a5670c89891fcb3db6962edb12e35aa,3989,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/TrueType_without_cmap.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/TrueType_without_cmap.pdf,2b,converted,,12,14628,
pdfjs,Type3WordSpacing.pdf,8ac40dc49d40af8b5a50b442ced56b8db962c961a779a0284cd3a6207adc0bb7,2693,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Type3WordSpacing.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Type3WordSpacing.pdf,2b,converted,,8,12899,fail
pdfjs,XiaoBiaoSong.pdf,1ea20b84d94b90fa1ccb08bdd2e79e710071e0593fde6d547ab1cd4a3ebc0f88,5652,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/XiaoBiaoSong.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/XiaoBiaoSong.pdf,2b,converted,,22,136018,
